"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Muted: int.parse successfully parses ""1""","test/simple_test.dart","Thu Aug 21 18:08:18 UTC 2025","passed","Thu Aug 21 18:08:18 UTC 2025","","","",""
"","3","Feature A - Story B","test/feature_test.dart","Thu Aug 21 18:08:24 UTC 2025","passed","Thu Aug 21 18:08:24 UTC 2025","","","",""
"","3","always passed","test/groups_test.dart","Thu Aug 21 18:08:23 UTC 2025","passed","Thu Aug 21 18:08:23 UTC 2025","sublevel of two level group, another sublevel","composite group of groups and tests","",""
"","3","always passed","test/groups_test.dart","Thu Aug 21 18:08:23 UTC 2025","passed","Thu Aug 21 18:08:23 UTC 2025","sublevel of two level group","two level group","",""
"","30","Failing Test","test/plain_dart_package_test.dart","Thu Aug 21 18:08:17 UTC 2025","failed","Thu Aug 21 18:08:17 UTC 2025","","A group of tests","",""
"","104","Component: ProfitCell, Story: Default (variant: CI)","test/golden_test.dart","Thu Aug 21 18:08:24 UTC 2025","failed","Thu Aug 21 18:08:24 UTC 2025","","","",""
"","94","Component: RatingReceivedCard, Story: Default (variant: CI)","test/golden_test.dart","Thu Aug 21 18:08:25 UTC 2025","failed","Thu Aug 21 18:08:25 UTC 2025","","","",""
"","82","Component: ProfitCell, Story: Second (variant: Linux)","test/golden_test.dart","Thu Aug 21 18:08:24 UTC 2025","failed","Thu Aug 21 18:08:24 UTC 2025","","","",""
"","156","Component: FrostBenefit, Story: Default (variant: Linux)","test/golden_test.dart","Thu Aug 21 18:08:24 UTC 2025","failed","Thu Aug 21 18:08:24 UTC 2025","","","",""
"","5","Feature B - Story A","test/feature_test.dart","Thu Aug 21 18:08:24 UTC 2025","passed","Thu Aug 21 18:08:24 UTC 2025","","","",""
"","1","Skipped Test","test/plain_dart_package_test.dart","Thu Aug 21 18:08:17 UTC 2025","skipped","Thu Aug 21 18:08:17 UTC 2025","","A group of tests","",""
"","39","Known: int.parse successfully parses ""2""","test/simple_test.dart","Thu Aug 21 18:08:18 UTC 2025","failed","Thu Aug 21 18:08:18 UTC 2025","","","",""
"","52","int.parse successfully parses ""1""","test/simple_test.dart","Thu Aug 21 18:08:18 UTC 2025","passed","Thu Aug 21 18:08:18 UTC 2025","","","",""
"","171","Component: DiagramCard, Story: Default (variant: CI)","test/golden_test.dart","Thu Aug 21 18:08:23 UTC 2025","failed","Thu Aug 21 18:08:24 UTC 2025","","","",""
"","137","Component: FrostReceivedCard, Story: Default (variant: CI)","test/golden_test.dart","Thu Aug 21 18:08:24 UTC 2025","failed","Thu Aug 21 18:08:24 UTC 2025","","","",""
"","3","always passed","test/groups_test.dart","Thu Aug 21 18:08:23 UTC 2025","passed","Thu Aug 21 18:08:23 UTC 2025","sublevel of two level group","composite group of groups and tests","",""
"","106","Component: ProfitCell, Story: Default (variant: Linux)","test/golden_test.dart","Thu Aug 21 18:08:24 UTC 2025","failed","Thu Aug 21 18:08:24 UTC 2025","","","",""
